OBJECTID *,Shape *,Join_Count,TARGET_FID,F_id,access,amenity,covered,fee,parking,surface,wheelchair,F_timestamp,F_version,F_changeset,F_user,F_uid,OBJECTID_1,SPI_Type,County,Real_Property_Number,Real_Property_Name,Address,City,State,Zip_Code,Agency,Total_Fee_Acreage,Total_SF_of_Structures,Latitude,Longitude,Elevation,Shape_Length,Shape_Area
17,Polygon Z,1,1577,way/826854822,yes,parking,no,no,surface,asphalt,yes,2020-07-31T14:47:08Z,2,88787864,PritamSarang,11460235,937,Real Property,MARIN,11828,ROWLAND BLVD. PARK AND RIDE, N.E. & S.E. QUADS,NOVATO,CA,94947,"TRANSPORTATION, DEPT OF",0.01,0,38.092413,-122.557978,6.94,1027.661049,26455.45767
18,Polygon Z,1,1579,way/106211504,yes,parking,no,no,surface,asphalt,yes,2016-02-21T15:39:36Z,2,37348977,Jake Smarter,1836535,937,Real Property,MARIN,11828,ROWLAND BLVD. PARK AND RIDE, N.E. & S.E. QUADS,NOVATO,CA,94947,"TRANSPORTATION, DEPT OF",0.01,0,38.092413,-122.557978,6.94,422.108518,9415.063341
19,Polygon Z,1,1596,way/106211533,fee,parking,no,no,surface,asphalt,no,2020-07-31T14:47:08Z,4,88787864,PritamSarang,11460235,934,Real Property,MARIN,11335,ATHERTON / 101 PARK AND RIDE, NE & SE QUADS US 101,NOVATO,CA,94945,"TRANSPORTATION, DEPT OF",1.33,0,38.116702,-122.563379,27.08,358.754495,2585.021836
20,Polygon Z,1,1599,way/106211545,customers,parking,no,yes,surface,asphalt,yes,2020-07-29T11:24:19Z,5,88675496,PritamSarang,11460235,935,Real Property,MARIN,11336,BLACK POINT PARK AND RIDE, OFF GLENN RD AT,NOVATO,CA,94945,"TRANSPORTATION, DEPT OF",0.25,0,38.105128,-122.513299,8.77,183.006904,1644.561517
21,Polygon Z,1,1603,way/117450633,yes,parking,no,yes,surface,asphalt,yes,2020-09-18T08:48:35Z,4,91098237,naniran,11640842,932,Real Property,MARIN,1191,OLOMPALI SHP,8901 REDWOOD HWY,NOVATO,CA,94947,"PARKS & RECREATION, DEPT OF",700,40466,38.15144,-122.571758,113.43,385.404078,6729.729813
22,Polygon Z,1,1658,way/204510594,private,parking,no,yes,surface,gravel,yes,2022-08-18T13:32:56Z,3,125062858,Nick Radov,8697576,1130,Real Property,MONTEREY,998,CARMEL RIVER SB, CARMELO STREET,CARMEL,CA,93923,"PARKS & RECREATION, DEPT OF",296.69,17931,36.539108,-121.927758,27.95,185.212716,1996.046869
23,Polygon Z,1,2577,way/571152217,customers,parking,yes,yes,surface,asphalt,yes,2018-03-20T03:09:13Z,1,57337762,Seaside83,7145475,1160,Real Property,MONTEREY,946,SEASIDE OFFICE BUILDING,1180 CANYON DEL REY BLVD,SEASIDE,CA,93955,"MOTOR VEHICLES, DEPT OF",2.53,10847,36.602613,-121.852683,34.22,376.659008,8505.257869
24,Polygon Z,1,3153,way/301179706,private,parking,yes,no,surface,gravel,yes,2014-09-01T01:06:39Z,1,25150628,Telecas,202256,1177,Real Property,MONTEREY,11285,FORT ORD DUNES SP,,UNINCORP - MONTEREY CO,CA,0,"PARKS & RECREATION, DEPT OF",836.92,0,36.660501,-121.821105,88,273.011504,4615.347627
25,Polygon Z,1,3309,way/163193878,yes,parking,yes,no,surface,asphalt,yes,2021-05-31T22:12:15Z,7,105646244,Gorkycreator,11942074,1141,Real Property,MONTEREY,1123,MARINA SB,83 RESERVATION ROAD,MARINA,CA,93933,"PARKS & RECREATION, DEPT OF",170.71,5195,36.698725,-121.808698,45.86,272.444297,4481.021903
26,Polygon Z,1,3692,way/205563257,private,parking,yes,yes,surface,asphalt,yes,2021-12-20T22:08:31Z,2,115183302,Clarke22,703694,1157,Real Property,MONTEREY,916,SALINAS OFFICE BUILDING,260 E LAUREL DR,SALINAS,CA,93906,"MOTOR VEHICLES, DEPT OF",2.8,8333,36.697939,-121.647864,78.73,459.459714,6150.24583
